Category,City,Country,Customer Name,Market,Customer ID,Order Date,Year (OrderDate),Order ID,Order Priority,Product ID,Product Name,Region,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Profit,Quantity,Sales,Shipping Cost,Order Date - Copy,Modulo,Target Sales,Poor,Satisfactory,Good,Sales w/o decimal
Furniture,Tegucigalpa,Honduras,Kathleen Allen,LATAM,UO-73705,"Thursday, April 17, 2025",2025,HO-2025-191403,Medium,FUR-CH-867479,Instead theory key room.,Central,46882,Corporate,"Sunday, April 20, 2025",First Class,Francisco Morazán,Chairs,0.17,-4.6303,2,1488.9832,148.9,2025-04-17,0,1484.3528999999999,1484.3528999999999,1484.3528999999999,1484.3528999999999,1488
Furniture,Augusta,United States,Emily Barnes,USCA,ZG-90190,"Thursday, February 13, 2025",2025,UN-2025-699755,Critical,FUR-BO-935829,Against back other born somebody.,South,17640,Consumer,"Monday, February 17, 2025",First Class,Georgia,Bookcases,0.31,173.027,3,521.2444,52.12,2025-02-13,0,694.2714000000001,694.2714000000001,694.2714000000001,694.2714000000001,521
Office Supplies,London,United Kingdom,Miss Heather Bryant,EU,QW-97160,"Wednesday, March 29, 2023",2023,UN-2023-877338,High,OFF-AR-188061,Save ball.,North,42263,Consumer,"Thursday, March 30, 2023",First Class,England,Art,0.3,227.7847,7,1076.4343,107.64,2023-03-29,0,1304.2189999999998,1304.2189999999998,1304.2189999999998,1304.2189999999998,1076
Office Supplies,Manchester,United Kingdom,Melissa Noble,EU,NT-26306,"Friday, March 10, 2023",2023,UN-2023-957260,Medium,OFF-BI-452989,Hair allow visit if.,North,18783,Consumer,"Saturday, March 18, 2023",Second Class,England,Binders,0.35,224.216,8,1493.5728,149.36,2023-03-10,0,1717.7887999999998,1717.7887999999998,1717.7887999999998,1717.7887999999998,1493
Technology,Philadelphia,United States,Randy Reeves,USCA,AB-52427,"Monday, May 15, 2023",2023,UN-2023-361595,High,TEC-MA-319482,Among likely again contain heavy.,East,21639,Corporate,"Thursday, May 18, 2023",Standard Class,Pennsylvania,Machines,0.32,49.7381,4,543.9829,54.4,2023-05-15,0,593.721,593.721,593.721,593.721,543
Office Supplies,Sydney,Australia,Nicole Powell,APAC,OV-62156,"Wednesday, September 22, 2021",2021,AU-2021-728190,Critical,OFF-ST-914240,Heavy place high shake.,Oceania,33220,Consumer,"Saturday, October 02, 2021",Same Day,New South Wales,Storage,0.34,177.7895,1,1097.2596,109.73,2021-09-22,0,1275.0491000000002,1275.0491000000002,1275.0491000000002,1275.0491000000002,1097
Office Supplies,Ottawa,Canada,Steven Perez,USCA,QY-11180,"Saturday, September 18, 2021",2021,CA-2021-134475,High,OFF-ST-989346,Artist stuff animal season rather.,Canada,42302,Corporate,"Sunday, September 19, 2021",Standard Class,Ontario,Storage,0.23,288.6774,6,1260.9966,126.1,2021-09-18,0,1549.674,1549.674,1549.674,1549.674,1260
Office Supplies,Munich,Germany,Hannah Lopez,EU,QY-16122,"Saturday, May 10, 2025",2025,GE-2025-932841,Medium,OFF-ST-945545,Western degree.,West,15100,Consumer,"Sunday, May 18, 2025",Same Day,Bavaria,Storage,0.13,-245.9608,1,774.9901,77.5,2025-05-10,0,529.0292999999999,529.0292999999999,529.0292999999999,529.0292999999999,774
Technology,Orlando,United States,Melissa Chapman,USCA,ON-51973,"Tuesday, September 12, 2023",2023,UN-2023-728481,High,TEC-PH-895594,Sister baby certain deal.,South,10744,Home Office,"Friday, September 15, 2023",First Class,Florida,Phones,0.17,-33.5029,3,97.8379,9.78,2023-09-12,0,64.33500000000001,64.33500000000001,64.33500000000001,64.33500000000001,97
Office Supplies,Rio de Janeiro,Brazil,William Brown,LATAM,IN-61859,"Tuesday, March 08, 2022",2022,BR-2022-246279,High,OFF-ST-736927,Every television personal.,South,16201,Corporate,"Wednesday, March 09, 2022",First Class,Rio de Janeiro,Storage,0.13,593.5816,10,1387.0643,138.71,2022-03-08,0,1980.6459,1980.6459,1980.6459,1980.6459,1387
Furniture,San Pedro Sula,Honduras,Nicole Page,LATAM,CL-76747,"Monday, March 03, 2025",2025,HO-2025-854123,Critical,FUR-FU-996185,Yet body everything.,Central,18973,Home Office,"Thursday, March 13, 2025",Second Class,Cortés,Furnishings,0.38,-236.1564,8,879.8983,87.99,2025-03-03,0,643.7419,643.7419,643.7419,643.7419,879
Technology,Sydney,Australia,Cheryl Anthony,APAC,DQ-42875,"Tuesday, September 17, 2024",2024,AU-2024-175188,High,TEC-CO-383279,Choose sister stay lose evidence.,Oceania,44780,Consumer,"Wednesday, September 25, 2024",First Class,New South Wales,Copiers,0.14,-166.0046,8,736.3664,73.64,2024-09-17,0,570.3618,570.3618,570.3618,570.3618,736
Office Supplies,Sydney,Australia,Wesley Olson,APAC,AH-17494,"Sunday, January 19, 2025",2025,AU-2025-908450,Critical,OFF-AP-150473,Key teacher another speak process.,Oceania,10949,Consumer,"Monday, January 27, 2025",Same Day,New South Wales,Appliances,0.03,194.2825,2,1433.5464,143.35,2025-01-19,0,1627.8289,1627.8289,1627.8289,1627.8289,1433
Office Supplies,Manchester,United Kingdom,Sergio Wilson,EU,WA-79882,"Sunday, April 21, 2024",2024,UN-2024-832248,Medium,OFF-AP-384640,Record reveal case.,North,17635,Corporate,"Thursday, April 25, 2024",Same Day,England,Appliances,0.02,-130.7581,6,1294.623,129.46,2024-04-21,0,1163.8649,1163.8649,1163.8649,1163.8649,1294
Office Supplies,Manchester,United Kingdom,Ashley Smith,EU,RF-67639,"Saturday, May 18, 2024",2024,UN-2024-885511,High,OFF-PA-984825,Class as.,North,25561,Corporate,"Saturday, May 25, 2024",Second Class,England,Paper,0.21,127.995,4,587.5425,58.75,2024-05-18,0,715.5375,715.5375,715.5375,715.5375,587
